Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3252224,9633792.0,12886016.0,51380224.0
Convolution,51380224.0,3211264.0,12744704.0,100352.0,0,0,0,1024.0,100352.0,3010560.0,100352.0,2.0,3212290.0,103513088,95638528.0,0,0,199151616.0,52613349376.0
BatchNorm,0,0.0,0.0,0,2408460.0,0.0,50177.5,0.0,1906710.0,0.0,0.0,0,1906710.0,0,0,12845440.0,61014720.0,73860160.0,205527040.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1626112,4816896.0,6443008.0,25690112.0
Convolution,57802752.0,3612672.0,14425600.0,25088.0,0,0,0,4608.0,112896.0,3562496.0,25088.0,2.0,3705090.0,116452224,113171120.0,0,0,229623344.0,59190018048.0
BatchNorm,0,0.0,0.0,0,602124.0,0.0,12545.5,0.0,476694.0,0.0,0.0,0,476694.0,0,0,3211648.0,15254208.0,18465856.0,51386368.0
ReLU,0,0.0,0.0,0,37632.0,25088.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,406528,1204224.0,1610752.0,6422528.0
Convolution,25690112.0,1605632.0,6322176.0,100352.0,0,0,0,2048.0,12544.0,6221824.0,100352.0,8.0,6336776.0,52885504,351737118.0,0,0,404622622.0,26306674688.0
BatchNorm,0,0.0,0.0,0,2408496.0,0.0,50182.0,0.0,1906776.0,0.0,0.0,0,1906776.0,0,0,12846592.0,61016832.0,73863424.0,205545472.0
Convolution,51380224.0,3211264.0,12744704.0,100352.0,0,0,0,4096.0,25088.0,12644352.0,100352.0,8.0,12773896.0,105771008,709893406.0,0,0,815664414.0,52613349376.0
BatchNorm,0,0.0,0.0,0,2408496.0,0.0,50182.0,0.0,1906776.0,0.0,0.0,0,1906776.0,0,0,12846592.0,61016832.0,73863424.0,205545472.0
ElemAdd,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,1621312,9633792.0,11255104.0,25690112.0
