Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,128.0,392.0,0.0,784.0,4.0,1308.0,204064,1504.0,0,0,205568.0,102760448.0
ElemAdd,0,0.0,0.0,0,2352.0,0.0,49.0,0.0,1568.0,0.0,784.0,0,2352.0,0,0,12684,150528.0,163212.0,200704.0
ReLU,0,0.0,0.0,0,882.0,392.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,24892.0,196.0,0,0,0,128.0,392.0,392.0,196.0,1.0,1109.0,202384,2528.0,0,0,204912.0,102760448.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,56448.0,3528.0,56252.0,196.0,0,0,0,288.0,882.0,3136.0,196.0,1.0,4503.0,459144,1504.0,0,0,460648.0,231211008.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,128.0,392.0,0.0,784.0,4.0,1308.0,204064,1504.0,0,0,205568.0,102760448.0
ElemAdd,0,0.0,0.0,0,2352.0,0.0,49.0,0.0,1568.0,0.0,784.0,0,2352.0,0,0,12684,150528.0,163212.0,200704.0
ReLU,0,0.0,0.0,0,882.0,392.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,50176.0,3136.0,49784.0,392.0,0,0,0,256.0,784.0,784.0,392.0,2.0,2218.0,404768,2528.0,0,0,407296.0,205520896.0
ReLU,0,0.0,0.0,0,441.0,196.0,24.5,0.0,392.0,0.0,49.0,0,441.0,0,0,6352,28224.0,34576.0,100352.0
Convolution,56448.0,3528.0,56350.0,98.0,0,0,0,1152.0,1638.0,1568.0,98.0,2.0,4458.0,466704,82078.0,0,0,548782.0,231211008.0
ReLU,0,0.0,0.0,0,110.25,98.0,6.125,0.0,98.0,0.0,12.25,0,110.25,0,0,1588,7056.0,8644.0,25088.0
Convolution,25088.0,1568.0,24696.0,392.0,0,0,0,512.0,392.0,0.0,392.0,8.0,1304.0,201664,2864.0,0,0,204528.0,102760448.0
Convolution,50176.0,3136.0,49784.0,392.0,0,0,0,1024.0,1456.0,784.0,392.0,8.0,3664.0,414848,73870.0,0,0,488718.0,205520896.0
ElemAdd,0,0.0,0.0,0,1176.0,0.0,24.5,0.0,784.0,0.0,392.0,0,1176.0,0,0,6412,75264.0,81676.0,100352.0
ReLU,0,0.0,0.0,0,441.0,392.0,24.5,0.0,392.0,0.0,49.0,0,441.0,0,0,6352,28224.0,34576.0,100352.0
Convolution,25088.0,1568.0,24990.0,98.0,0,0,0,512.0,392.0,588.0,98.0,2.0,1592.0,201664,2864.0,0,0,204528.0,102760448.0
ReLU,0,0.0,0.0,0,110.25,98.0,6.125,0.0,98.0,0.0,12.25,0,110.25,0,0,1588,7056.0,8644.0,25088.0
Convolution,56448.0,3528.0,56350.0,98.0,0,0,0,1152.0,882.0,1568.0,98.0,2.0,3702.0,453744,2864.0,0,0,456608.0,231211008.0
ReLU,0,0.0,0.0,0,110.25,98.0,6.125,0.0,98.0,0.0,12.25,0,110.25,0,0,1588,7056.0,8644.0,25088.0
Convolution,25088.0,1568.0,24696.0,392.0,0,0,0,512.0,392.0,0.0,392.0,8.0,1304.0,201664,2864.0,0,0,204528.0,102760448.0
ElemAdd,0,0.0,0.0,0,1176.0,0.0,24.5,0.0,784.0,0.0,392.0,0,1176.0,0,0,6412,75264.0,81676.0,100352.0
ReLU,0,0.0,0.0,0,441.0,392.0,24.5,0.0,392.0,0.0,49.0,0,441.0,0,0,6352,28224.0,34576.0,100352.0
Convolution,25088.0,1568.0,24990.0,98.0,0,0,0,512.0,392.0,588.0,98.0,2.0,1592.0,201664,2864.0,0,0,204528.0,102760448.0
ReLU,0,0.0,0.0,0,110.25,98.0,6.125,0.0,98.0,0.0,12.25,0,110.25,0,0,1588,7056.0,8644.0,25088.0
Convolution,56448.0,3528.0,56350.0,98.0,0,0,0,1152.0,882.0,1568.0,98.0,2.0,3702.0,453744,2864.0,0,0,456608.0,231211008.0
ReLU,0,0.0,0.0,0,110.25,98.0,6.125,0.0,98.0,0.0,12.25,0,110.25,0,0,1588,7056.0,8644.0,25088.0
Convolution,25088.0,1568.0,24696.0,392.0,0,0,0,512.0,392.0,0.0,392.0,8.0,1304.0,201664,2864.0,0,0,204528.0,102760448.0
ElemAdd,0,0.0,0.0,0,1176.0,0.0,24.5,0.0,784.0,0.0,392.0,0,1176.0,0,0,6412,75264.0,81676.0,100352.0
ReLU,0,0.0,0.0,0,784.0,392.0,24.5,0.0,392.0,0.0,392.0,0,784.0,0,0,6352,50176.0,56528.0,100352.0
AvgPool,0,0.0,0.0,0,1200.0,0.0,25.0,0.0,392.0,0.0,8.0,0,400.0,0,0,7444,25600.0,33044.0,118784.0
coarse_flatten_ignored,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0
GEMM,1008.0,63.0,1004.0625,3.9375,0,0,0,1008.0,63.0,0.0,3.9375,3.9375,1078.875,9954,119736.0,0,0,129690.0,4128768.0
