Layer name,WBUF access,IBUF access,OBUF access,BBUF access,VMEM access,IMM access,InsMem access,DRAM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
MeanIstd,0,0.0,0.0,0,451616.0,4.0,9408.75,0.0,50176.0,0.0,4.0,0,50180.0,0,0,4035584,1605760.0,5641344.0,38547456.0
BatchNorm,0,0.0,0.0,0,602112.0,0.0,12544.0,0.0,50184.0,0.0,50176.0,0,100360.0,0,0,8048640,3211520.0,11260160.0,51380224.0
ElemAdd,0,0.0,0.0,0,150528.0,0.0,3136.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,823296,4816896.0,5640192.0,12845056.0
ReLU,0,0.0,0.0,0,75264.0,3136.0,3136.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,823296,2408448.0,3231744.0,12845056.0
Convolution,6422528.0,401408.0,1580544.0,25088.0,0,0,0,256.0,200704.0,0.0,25088.0,1.0,226049.0,13033216,2304.0,0,0,13035520.0,6576668672.0
MeanIstd,0,0.0,0.0,0,225808.0,2.0,4704.375,0.0,25088.0,0.0,2.0,0,25090.0,0,0,2017792,802880.0,2820672.0,19273728.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25092.0,0.0,25088.0,0,50180.0,0,0,4024320,1605760.0,5630080.0,25690112.0
ReLU,0,0.0,0.0,0,37632.0,1568.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,411648,1204224.0,1615872.0,6422528.0
Convolution,7225344.0,451584.0,2364544.0,6272.0,0,0,0,1152.0,313600.0,25088.0,6272.0,1.0,346113.0,14880768,5190734.0,0,0,20071502.0,7398752256.0
MeanIstd,0,0.0,0.0,0,56464.0,2.0,1176.375,0.0,6272.0,0.0,2.0,0,6274.0,0,0,504832,200768.0,705600.0,4823040.0
BatchNorm,0,0.0,0.0,0,75264.0,0.0,1568.0,0.0,6276.0,0.0,6272.0,0,12548.0,0,0,1006080,401536.0,1407616.0,6422528.0
